date;X-ray Class;X-ray intensity;XRay_class_nr1
1975-11-05;C;0.5;5e-07
1975-11-06;C;0.6;6e-07
1975-11-06;C;0.3;3e-07
1975-11-06;C;0.4;4e-07
1975-11-06;C;0.2;2e-07
1975-11-10;C;0.1;1e-07
1975-11-10;C;0.2;2e-07
1975-11-14;C;0.7;7e-07
1975-11-15;C;0.4;4e-07
1975-11-15;C;0.4;4e-07
1975-11-15;C;0.2;2e-07
1975-11-16;C;0.2;2e-07
1975-11-16;M;0.1;1.0000000000000002e-06
1975-11-16;C;0.4;4e-07
1975-11-16;C;0.3;3e-07
1975-11-16;C;0.3;3e-07
1975-11-17;C;0.7;7e-07
1975-11-18;C;0.2;2e-07
1975-11-18;C;0.2;2e-07
1975-11-18;C;0.2;2e-07
1975-11-18;C;0.6;6e-07
1975-11-19;C;0.2;2e-07
1975-11-19;C;0.2;2e-07
1975-11-21;M;0.2;2.0000000000000003e-06
1975-12-08;C;0.1;1e-07
1976-01-12;C;0.5;5e-07
1976-01-12;C;0.1;1e-07
1976-01-12;C;0.1;1e-07
1976-01-12;C;0.2;2e-07
1976-01-13;C;0.6;6e-07
1976-01-14;C;0.2;2e-07
1976-01-14;C;0.3;3e-07
1976-01-14;C;0.4;4e-07
1976-01-14;C;0.4;4e-07
1976-01-14;C;0.4;4e-07
1976-01-14;C;0.2;2e-07
1976-01-14;C;0.4;4e-07
1976-01-15;C;0.1;1e-07
1976-01-19;C;0.1;1e-07
1976-03-20;C;0.3;3e-07
1976-03-20;C;0.4;4e-07
1976-03-20;C;0.2;2e-07
1976-03-21;C;0.5;5e-07
1976-03-21;M;0.4;4.000000000000001e-06
1976-03-21;C;0.3;3e-07
1976-03-21;M;0.2;2.0000000000000003e-06
1976-03-21;C;0.6;6e-07
1976-03-22;C;0.2;2e-07
1976-03-22;C;0.5;5e-07
1976-03-23;X;0.1;1e-05
1976-03-24;M;0.1;1.0000000000000002e-06
1976-03-25;C;0.6;6e-07
1976-03-25;C;0.3;3e-07
1976-03-25;C;0.6;6e-07
1976-03-25;M;0.1;1.0000000000000002e-06
1976-03-25;C;0.2;2e-07
1976-03-25;C;0.5;5e-07
1976-03-26;C;0.9;9e-07
1976-03-26;M;0.1;1.0000000000000002e-06
1976-03-26;C;0.2;2e-07
1976-03-26;C;0.7;7e-07
1976-03-27;C;0.4;4e-07
1976-03-27;C;0.2;2e-07
1976-03-27;C;0.2;2e-07
1976-03-27;C;0.3;3e-07
1976-03-27;M;0.1;1.0000000000000002e-06
1976-03-27;C;0.2;2e-07
1976-03-27;C;0.3;3e-07
1976-03-27;C;0.2;2e-07
1976-03-28;M;0.1;1.0000000000000002e-06
1976-03-28;C;0.2;2e-07
1976-03-28;X;0.1;1e-05
1976-03-28;M;0.2;2.0000000000000003e-06
1976-03-29;C;0.3;3e-07
1976-03-29;C;0.2;2e-07
1976-03-31;C;0.9;9e-07
1976-03-31;C;0.6;6e-07
1976-04-20;C;0.2;2e-07
1976-04-21;C;0.1;1e-07
1976-04-25;C;0.1;1e-07
1976-04-29;M;0.1;1.0000000000000002e-06
1976-04-30;C;0.7;7e-07
1976-04-30;C;0.2;2e-07
1976-04-30;C;0.1;1e-07
1976-04-30;C;0.3;3e-07
1976-04-30;C;0.3;3e-07
1976-04-30;C;0.1;1e-07
1976-04-30;X;0.2;2e-05
1976-05-01;C;0.1;1e-07
1976-05-01;M;0.2;2.0000000000000003e-06
1976-05-16;C;0.3;3e-07
1976-06-16;C;0.3;3e-07
1976-06-16;C;0.5;5e-07
1976-06-17;C;0.2;2e-07
1976-06-17;C;0.5;5e-07
1976-08-06;C;0.2;2e-07
1976-08-07;C;0.3;3e-07
1976-08-18;M;0.2;2.0000000000000003e-06
1976-08-22;M;0.3;3e-06
1976-09-01;C;0.4;4e-07
1976-09-03;C;0.3;3e-07
1976-09-06;C;0.2;2e-07
1976-09-17;C;0.3;3e-07
1976-09-21;C;0.1;1e-07
1976-10-19;C;0.2;2e-07
1976-12-09;C;0.2;2e-07
1976-12-15;C;0.4;4e-07
1977-01-04;C;0.3;3e-07
1977-01-12;C;0.2;2e-07
1977-01-12;C;0.4;4e-07
1977-01-12;C;0.7;7e-07
1977-01-13;C;0.5;5e-07
